"trainer/global_step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MAX","debug--VQVAE_CSL_ALL_ORIG_1GPU - recons/feature/train","debug--VQVAE_CSL_ALL_ORIG_1GPU - recons/feature/train__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - recons/feature/train__MAX"
"80","160","160","160","0.062637560069561","0.062637560069561","0.062637560069561"
"81","162","162","162","0.06237281113862991","0.06237281113862991","0.06237281113862991"
"82","164","164","164","0.06242842599749565","0.06242842599749565","0.06242842599749565"
"83","166","166","166","0.06257886439561844","0.06257886439561844","0.06257886439561844"
"84","168","168","168","0.06290527433156967","0.06290527433156967","0.06290527433156967"
"85","170","170","170","0.06290703266859055","0.06290703266859055","0.06290703266859055"
"86","172","172","172","0.06272421777248383","0.06272421777248383","0.06272421777248383"
"87","174","174","174","0.06266119331121445","0.06266119331121445","0.06266119331121445"
"88","176","176","176","0.0624832957983017","0.0624832957983017","0.0624832957983017"
"89","178","178","178","0.061708129942417145","0.061708129942417145","0.061708129942417145"
"90","180","180","180","0.06136641651391983","0.06136641651391983","0.06136641651391983"
