"trainer/global_step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MAX","debug--VQVAE_CSL_ALL_ORIG_1GPU - recons/feature/train","debug--VQVAE_CSL_ALL_ORIG_1GPU - recons/feature/train__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - recons/feature/train__MAX"
"0","0","0","0","0.1369428187608719","0.1369428187608719","0.1369428187608719"
"1","2","2","2","0.11707640439271927","0.11707640439271927","0.11707640439271927"
"2","4","4","4","0.1110227033495903","0.1110227033495903","0.1110227033495903"
"3","6","6","6","0.10580683499574661","0.10580683499574661","0.10580683499574661"
"4","8","8","8","0.10174734145402908","0.10174734145402908","0.10174734145402908"
"5","10","10","10","0.09875236451625824","0.09875236451625824","0.09875236451625824"
"6","12","12","12","0.09581789374351501","0.09581789374351501","0.09581789374351501"
"7","14","14","14","0.09359639883041382","0.09359639883041382","0.09359639883041382"
"8","16","16","16","0.09173686057329178","0.09173686057329178","0.09173686057329178"
"9","18","18","18","0.09026837348937988","0.09026837348937988","0.09026837348937988"
"10","20","20","20","0.08900639414787292","0.08900639414787292","0.08900639414787292"
"11","22","22","22","0.08769537508487701","0.08769537508487701","0.08769537508487701"
"12","24","24","24","0.08666393160820007","0.08666393160820007","0.08666393160820007"
"13","26","26","26","0.08560333400964737","0.08560333400964737","0.08560333400964737"
"14","28","28","28","0.08464440703392029","0.08464440703392029","0.08464440703392029"
"15","30","30","30","0.08367834240198135","0.08367834240198135","0.08367834240198135"
"16","32","32","32","0.08267170190811157","0.08267170190811157","0.08267170190811157"
"17","34","34","34","0.08181913942098618","0.08181913942098618","0.08181913942098618"
"18","36","36","36","0.08101595193147659","0.08101595193147659","0.08101595193147659"
"19","38","38","38","0.08028300851583481","0.08028300851583481","0.08028300851583481"
"20","40","40","40","0.07960972189903259","0.07960972189903259","0.07960972189903259"
