"trainer/global_step","debug--VAE_CSL - _step","debug--VAE_CSL - _step__MIN","debug--VAE_CSL - _step__MAX","debug--VAE_CSL - vq/commit/train","debug--VAE_CSL - vq/commit/train__MIN","debug--VAE_CSL - vq/commit/train__MAX"
"27","54","54","54","1.31386399269104","1.31386399269104","1.31386399269104"
"28","56","56","56","1.324330449104309","1.324330449104309","1.324330449104309"
"29","58","58","58","1.322765588760376","1.322765588760376","1.322765588760376"
"30","60","60","60","1.3274414539337158","1.3274414539337158","1.3274414539337158"
"31","62","62","62","1.3304027318954468","1.3304027318954468","1.3304027318954468"
"32","64","64","64","1.3367937803268433","1.3367937803268433","1.3367937803268433"
"33","66","66","66","1.3381954431533813","1.3381954431533813","1.3381954431533813"
"34","68","68","68","1.337457299232483","1.337457299232483","1.337457299232483"
"35","70","70","70","1.3436193466186523","1.3436193466186523","1.3436193466186523"
"36","72","72","72","1.3462296724319458","1.3462296724319458","1.3462296724319458"
"37","74","74","74","1.3478776216506958","1.3478776216506958","1.3478776216506958"
"38","76","76","76","1.3486406803131104","1.3486406803131104","1.3486406803131104"
"39","78","78","78","1.347082495689392","1.347082495689392","1.347082495689392"
"40","80","80","80","1.3462811708450317","1.3462811708450317","1.3462811708450317"
"41","82","82","82","1.3451125621795654","1.3451125621795654","1.3451125621795654"
"42","84","84","84","1.349722146987915","1.349722146987915","1.349722146987915"
"43","86","86","86","1.3498615026474","1.3498615026474","1.3498615026474"
"44","88","88","88","1.3468632698059082","1.3468632698059082","1.3468632698059082"
"45","90","90","90","1.3465392589569092","1.3465392589569092","1.3465392589569092"
"46","92","92","92","1.3450385332107544","1.3450385332107544","1.3450385332107544"
"47","94","94","94","1.3436131477355957","1.3436131477355957","1.3436131477355957"
"48","96","96","96","1.340254306793213","1.340254306793213","1.340254306793213"
"49","98","98","98","1.3374230861663818","1.3374230861663818","1.3374230861663818"
"50","100","100","100","1.3346461057662964","1.3346461057662964","1.3346461057662964"
"51","102","102","102","1.3292272090911865","1.3292272090911865","1.3292272090911865"
"52","104","104","104","1.327562689781189","1.327562689781189","1.327562689781189"
"53","106","106","106","1.322940468788147","1.322940468788147","1.322940468788147"
"54","108","108","108","1.3230141401290894","1.3230141401290894","1.3230141401290894"
"55","110","110","110","1.3228960037231445","1.3228960037231445","1.3228960037231445"
"56","112","112","112","1.3215479850769043","1.3215479850769043","1.3215479850769043"
"57","114","114","114","1.3205492496490479","1.3205492496490479","1.3205492496490479"
"58","116","116","116","1.317917823791504","1.317917823791504","1.317917823791504"
"59","118","118","118","1.313197135925293","1.313197135925293","1.313197135925293"
"60","120","120","120","1.3123835325241089","1.3123835325241089","1.3123835325241089"
"61","122","122","122","1.3096884489059448","1.3096884489059448","1.3096884489059448"
"62","124","124","124","1.310267448425293","1.310267448425293","1.310267448425293"
"63","126","126","126","1.3092563152313232","1.3092563152313232","1.3092563152313232"
"64","128","128","128","1.3030004501342773","1.3030004501342773","1.3030004501342773"
"65","130","130","130","1.2969950437545776","1.2969950437545776","1.2969950437545776"
"66","132","132","132","1.2939013242721558","1.2939013242721558","1.2939013242721558"
"67","134","134","134","1.290097713470459","1.290097713470459","1.290097713470459"
"68","136","136","136","1.2862539291381836","1.2862539291381836","1.2862539291381836"
"69","138","138","138","1.2763383388519287","1.2763383388519287","1.2763383388519287"
"70","140","140","140","1.2754157781600952","1.2754157781600952","1.2754157781600952"
"71","142","142","142","1.2712476253509521","1.2712476253509521","1.2712476253509521"
"72","144","144","144","1.2703194618225098","1.2703194618225098","1.2703194618225098"
"73","146","146","146","1.2717074155807495","1.2717074155807495","1.2717074155807495"
"74","148","148","148","1.2638587951660156","1.2638587951660156","1.2638587951660156"
"75","150","150","150","1.263735055923462","1.263735055923462","1.263735055923462"
"76","152","152","152","1.2555773258209229","1.2555773258209229","1.2555773258209229"
"77","154","154","154","1.2494392395019531","1.2494392395019531","1.2494392395019531"
"78","156","156","156","1.2478677034378052","1.2478677034378052","1.2478677034378052"
"79","158","158","158","1.2430901527404785","1.2430901527404785","1.2430901527404785"
"80","160","160","160","1.2350313663482666","1.2350313663482666","1.2350313663482666"
"81","162","162","162","1.2338025569915771","1.2338025569915771","1.2338025569915771"
"82","164","164","164","1.231892704963684","1.231892704963684","1.231892704963684"
"83","166","166","166","1.2273954153060913","1.2273954153060913","1.2273954153060913"
"84","168","168","168","1.224604845046997","1.224604845046997","1.224604845046997"
"85","170","170","170","1.2207233905792236","1.2207233905792236","1.2207233905792236"
"86","172","172","172","1.2180237770080566","1.2180237770080566","1.2180237770080566"
"87","174","174","174","1.2116625308990479","1.2116625308990479","1.2116625308990479"
"88","176","176","176","1.2084800004959106","1.2084800004959106","1.2084800004959106"
"89","178","178","178","1.2034258842468262","1.2034258842468262","1.2034258842468262"
"90","180","180","180","1.1969884634017944","1.1969884634017944","1.1969884634017944"
"91","182","182","182","1.1939376592636108","1.1939376592636108","1.1939376592636108"
"92","184","184","184","1.1895942687988281","1.1895942687988281","1.1895942687988281"
"93","186","186","186","1.1863398551940918","1.1863398551940918","1.1863398551940918"
"94","188","188","188","1.1793978214263916","1.1793978214263916","1.1793978214263916"
"95","190","190","190","1.175284504890442","1.175284504890442","1.175284504890442"
"96","192","192","192","1.1671069860458374","1.1671069860458374","1.1671069860458374"
"97","194","194","194","1.1648348569869995","1.1648348569869995","1.1648348569869995"
"98","196","196","196","1.1633442640304565","1.1633442640304565","1.1633442640304565"
"99","198","198","198","1.16022527217865","1.16022527217865","1.16022527217865"
"100","200","200","200","1.1512736082077026","1.1512736082077026","1.1512736082077026"
"101","202","202","202","1.1509454250335693","1.1509454250335693","1.1509454250335693"
"102","204","204","204","1.1502493619918823","1.1502493619918823","1.1502493619918823"
"103","206","206","206","1.1479506492614746","1.1479506492614746","1.1479506492614746"
"104","208","208","208","1.1426985263824463","1.1426985263824463","1.1426985263824463"
"105","210","210","210","1.1371629238128662","1.1371629238128662","1.1371629238128662"
"106","212","212","212","1.1314537525177002","1.1314537525177002","1.1314537525177002"
"107","214","214","214","1.1253013610839844","1.1253013610839844","1.1253013610839844"
"108","216","216","216","1.1157864332199097","1.1157864332199097","1.1157864332199097"
"109","218","218","218","1.108483076095581","1.108483076095581","1.108483076095581"
"110","220","220","220","1.102905511856079","1.102905511856079","1.102905511856079"
"111","222","222","222","1.1014364957809448","1.1014364957809448","1.1014364957809448"
"112","224","224","224","1.0995111465454102","1.0995111465454102","1.0995111465454102"
"113","226","226","226","1.097729206085205","1.097729206085205","1.097729206085205"
"114","228","228","228","1.0970033407211304","1.0970033407211304","1.0970033407211304"
"115","230","230","230","1.096021294593811","1.096021294593811","1.096021294593811"
"116","232","232","232","1.092025876045227","1.092025876045227","1.092025876045227"
"117","234","234","234","1.091106653213501","1.091106653213501","1.091106653213501"
"118","236","236","236","1.0908808708190918","1.0908808708190918","1.0908808708190918"
"119","238","238","238","1.085710048675537","1.085710048675537","1.085710048675537"
"120","240","240","240","1.0808569192886353","1.0808569192886353","1.0808569192886353"
"121","242","242","242","1.0830284357070923","1.0830284357070923","1.0830284357070923"
"122","244","244","244","1.0765820741653442","1.0765820741653442","1.0765820741653442"
"123","246","246","246","1.0673596858978271","1.0673596858978271","1.0673596858978271"
"124","248","248","248","1.0685369968414307","1.0685369968414307","1.0685369968414307"
"125","250","250","250","1.0636160373687744","1.0636160373687744","1.0636160373687744"
"126","252","252","252","1.0529855489730835","1.0529855489730835","1.0529855489730835"
"127","254","254","254","1.048952341079712","1.048952341079712","1.048952341079712"
"128","256","256","256","1.0427683591842651","1.0427683591842651","1.0427683591842651"
"129","258","258","258","1.0377752780914307","1.0377752780914307","1.0377752780914307"
"130","260","260","260","1.0349490642547607","1.0349490642547607","1.0349490642547607"
"131","262","262","262","1.0329197645187378","1.0329197645187378","1.0329197645187378"
"132","264","264","264","1.032455563545227","1.032455563545227","1.032455563545227"
"133","266","266","266","1.0296416282653809","1.0296416282653809","1.0296416282653809"
