"trainer/global_step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MAX","debug--VQVAE_CSL_ALL_ORIG_1GPU - vq/commit/train","debug--VQVAE_CSL_ALL_ORIG_1GPU - vq/commit/train__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - vq/commit/train__MAX"
"51","102","102","102","1.4025779962539673","1.4025779962539673","1.4025779962539673"
"52","104","104","104","1.407180666923523","1.407180666923523","1.407180666923523"
"53","106","106","106","1.4127486944198608","1.4127486944198608","1.4127486944198608"
"54","108","108","108","1.4148714542388916","1.4148714542388916","1.4148714542388916"
"55","110","110","110","1.4099540710449219","1.4099540710449219","1.4099540710449219"
"56","112","112","112","1.4108809232711792","1.4108809232711792","1.4108809232711792"
"57","114","114","114","1.4042197465896606","1.4042197465896606","1.4042197465896606"
"58","116","116","116","1.39707612991333","1.39707612991333","1.39707612991333"
"59","118","118","118","1.3969674110412598","1.3969674110412598","1.3969674110412598"
"60","120","120","120","1.3996870517730713","1.3996870517730713","1.3996870517730713"
"61","122","122","122","1.398512363433838","1.398512363433838","1.398512363433838"
"62","124","124","124","1.39714515209198","1.39714515209198","1.39714515209198"
"63","126","126","126","1.4013712406158447","1.4013712406158447","1.4013712406158447"
"64","128","128","128","1.3982908725738525","1.3982908725738525","1.3982908725738525"
"65","130","130","130","1.4008815288543701","1.4008815288543701","1.4008815288543701"
"66","132","132","132","1.4072961807250977","1.4072961807250977","1.4072961807250977"
"67","134","134","134","1.4077708721160889","1.4077708721160889","1.4077708721160889"
"68","136","136","136","1.4078991413116455","1.4078991413116455","1.4078991413116455"
"69","138","138","138","1.407235860824585","1.407235860824585","1.407235860824585"
"70","140","140","140","1.4043406248092651","1.4043406248092651","1.4043406248092651"
"71","142","142","142","1.4017913341522217","1.4017913341522217","1.4017913341522217"
"72","144","144","144","1.3905055522918701","1.3905055522918701","1.3905055522918701"
"73","146","146","146","1.3928947448730469","1.3928947448730469","1.3928947448730469"
"74","148","148","148","1.3961650133132935","1.3961650133132935","1.3961650133132935"
"75","150","150","150","1.3909955024719238","1.3909955024719238","1.3909955024719238"
"76","152","152","152","1.3894102573394775","1.3894102573394775","1.3894102573394775"
"77","154","154","154","1.3897830247879028","1.3897830247879028","1.3897830247879028"
"78","156","156","156","1.3851913213729858","1.3851913213729858","1.3851913213729858"
"79","158","158","158","1.3837480545043945","1.3837480545043945","1.3837480545043945"
"80","160","160","160","1.3845010995864868","1.3845010995864868","1.3845010995864868"
"81","162","162","162","1.3807133436203003","1.3807133436203003","1.3807133436203003"
"82","164","164","164","1.3816254138946533","1.3816254138946533","1.3816254138946533"
"83","166","166","166","1.3781832456588745","1.3781832456588745","1.3781832456588745"
"84","168","168","168","1.3771172761917114","1.3771172761917114","1.3771172761917114"
"85","170","170","170","1.364243507385254","1.364243507385254","1.364243507385254"
"86","172","172","172","1.360759973526001","1.360759973526001","1.360759973526001"
"87","174","174","174","1.3651071786880493","1.3651071786880493","1.3651071786880493"
"88","176","176","176","1.3573641777038574","1.3573641777038574","1.3573641777038574"
"89","178","178","178","1.3554362058639526","1.3554362058639526","1.3554362058639526"
"90","180","180","180","1.367811918258667","1.367811918258667","1.367811918258667"
