"trainer/global_step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - _step__MAX","debug--VQVAE_CSL_ALL_ORIG_1GPU - vq/commit/train","debug--VQVAE_CSL_ALL_ORIG_1GPU - vq/commit/train__MIN","debug--VQVAE_CSL_ALL_ORIG_1GPU - vq/commit/train__MAX"
"0","0","0","0","0.0133065702393651","0.0133065702393651","0.0133065702393651"
"1","2","2","2","0.0976489707827568","0.0976489707827568","0.0976489707827568"
"2","4","4","4","0.13892142474651337","0.13892142474651337","0.13892142474651337"
"3","6","6","6","0.2614474594593048","0.2614474594593048","0.2614474594593048"
"4","8","8","8","0.4084831476211548","0.4084831476211548","0.4084831476211548"
"5","10","10","10","0.5187036395072937","0.5187036395072937","0.5187036395072937"
"6","12","12","12","0.6073079109191895","0.6073079109191895","0.6073079109191895"
"7","14","14","14","0.6508134007453918","0.6508134007453918","0.6508134007453918"
"8","16","16","16","0.7113639712333679","0.7113639712333679","0.7113639712333679"
"9","18","18","18","0.7639052271842957","0.7639052271842957","0.7639052271842957"
"10","20","20","20","0.8064772486686707","0.8064772486686707","0.8064772486686707"
"11","22","22","22","0.8690909743309021","0.8690909743309021","0.8690909743309021"
"12","24","24","24","0.8985583186149597","0.8985583186149597","0.8985583186149597"
"13","26","26","26","0.9365001916885376","0.9365001916885376","0.9365001916885376"
"14","28","28","28","0.967943549156189","0.967943549156189","0.967943549156189"
"15","30","30","30","1.0074013471603394","1.0074013471603394","1.0074013471603394"
"16","32","32","32","1.042458176612854","1.042458176612854","1.042458176612854"
"17","34","34","34","1.0757023096084595","1.0757023096084595","1.0757023096084595"
"18","36","36","36","1.1044782400131226","1.1044782400131226","1.1044782400131226"
"19","38","38","38","1.1293953657150269","1.1293953657150269","1.1293953657150269"
"20","40","40","40","1.1490885019302368","1.1490885019302368","1.1490885019302368"
"21","42","42","42","1.1623958349227905","1.1623958349227905","1.1623958349227905"
"22","44","44","44","1.1752876043319702","1.1752876043319702","1.1752876043319702"
"23","46","46","46","1.1922836303710938","1.1922836303710938","1.1922836303710938"
"24","48","48","48","1.2099863290786743","1.2099863290786743","1.2099863290786743"
"25","50","50","50","1.220033884048462","1.220033884048462","1.220033884048462"
"26","52","52","52","1.2292418479919434","1.2292418479919434","1.2292418479919434"
"27","54","54","54","1.2459652423858643","1.2459652423858643","1.2459652423858643"
"28","56","56","56","1.2622040510177612","1.2622040510177612","1.2622040510177612"
"29","58","58","58","1.2708643674850464","1.2708643674850464","1.2708643674850464"
"30","60","60","60","1.276697039604187","1.276697039604187","1.276697039604187"
"31","62","62","62","1.2819865942001343","1.2819865942001343","1.2819865942001343"
"32","64","64","64","1.2859776020050049","1.2859776020050049","1.2859776020050049"
"33","66","66","66","1.290733814239502","1.290733814239502","1.290733814239502"
"34","68","68","68","1.2939196825027466","1.2939196825027466","1.2939196825027466"
"35","70","70","70","1.3077001571655273","1.3077001571655273","1.3077001571655273"
"36","72","72","72","1.3122111558914185","1.3122111558914185","1.3122111558914185"
"37","74","74","74","1.3272689580917358","1.3272689580917358","1.3272689580917358"
"38","76","76","76","1.3396334648132324","1.3396334648132324","1.3396334648132324"
"39","78","78","78","1.343807339668274","1.343807339668274","1.343807339668274"
"40","80","80","80","1.3483389616012573","1.3483389616012573","1.3483389616012573"
"41","82","82","82","1.3500696420669556","1.3500696420669556","1.3500696420669556"
"42","84","84","84","1.3520352840423584","1.3520352840423584","1.3520352840423584"
"43","86","86","86","1.3492224216461182","1.3492224216461182","1.3492224216461182"
"44","88","88","88","1.3519765138626099","1.3519765138626099","1.3519765138626099"
"45","90","90","90","1.3624602556228638","1.3624602556228638","1.3624602556228638"
"46","92","92","92","1.367734432220459","1.367734432220459","1.367734432220459"
"47","94","94","94","1.3758913278579712","1.3758913278579712","1.3758913278579712"
"48","96","96","96","1.3859753608703613","1.3859753608703613","1.3859753608703613"
"49","98","98","98","1.3903496265411377","1.3903496265411377","1.3903496265411377"
"50","100","100","100","1.3981671333312988","1.3981671333312988","1.3981671333312988"
