"trainer/global_step","debug--VAE_CSL - _step","debug--VAE_CSL - _step__MIN","debug--VAE_CSL - _step__MAX","debug--VAE_CSL - total/train","debug--VAE_CSL - total/train__MIN","debug--VAE_CSL - total/train__MAX"
"110","220","220","220","0.0624997541308403","0.0624997541308403","0.0624997541308403"
"111","222","222","222","0.06232647970318794","0.06232647970318794","0.06232647970318794"
"112","224","224","224","0.062160562723875046","0.062160562723875046","0.062160562723875046"
"113","226","226","226","0.062096938490867615","0.062096938490867615","0.062096938490867615"
"114","228","228","228","0.06245758384466171","0.06245758384466171","0.06245758384466171"
"115","230","230","230","0.06252240389585495","0.06252240389585495","0.06252240389585495"
"116","232","232","232","0.06261256337165833","0.06261256337165833","0.06261256337165833"
"117","234","234","234","0.06282473355531693","0.06282473355531693","0.06282473355531693"
"118","236","236","236","0.0629214271903038","0.0629214271903038","0.0629214271903038"
"119","238","238","238","0.06264977157115936","0.06264977157115936","0.06264977157115936"
"120","240","240","240","0.06242167949676514","0.06242167949676514","0.06242167949676514"
"121","242","242","242","0.0623871348798275","0.0623871348798275","0.0623871348798275"
"122","244","244","244","0.062078844755887985","0.062078844755887985","0.062078844755887985"
"123","246","246","246","0.06182626262307167","0.06182626262307167","0.06182626262307167"
"124","248","248","248","0.061644796282052994","0.061644796282052994","0.061644796282052994"
"125","250","250","250","0.06106240302324295","0.06106240302324295","0.06106240302324295"
"126","252","252","252","0.060287270694971085","0.060287270694971085","0.060287270694971085"
"127","254","254","254","0.059794627130031586","0.059794627130031586","0.059794627130031586"
"128","256","256","256","0.05936142057180405","0.05936142057180405","0.05936142057180405"
"129","258","258","258","0.05916643515229225","0.05916643515229225","0.05916643515229225"
"130","260","260","260","0.05908963084220886","0.05908963084220886","0.05908963084220886"
"131","262","262","262","0.05913325771689415","0.05913325771689415","0.05913325771689415"
"132","264","264","264","0.05934378504753113","0.05934378504753113","0.05934378504753113"
"133","266","266","266","0.05960790067911148","0.05960790067911148","0.05960790067911148"
